iter	Passed	Remaining
973	20997	560
974	21017	538
975	21038	517
976	21058	495
977	21079	474
978	21099	452
979	21120	431
980	21140	409
981	21161	387
982	21181	366
983	21202	344
984	21223	323
985	21244	301
986	21264	280
987	21285	258
988	21305	236
989	21325	215
990	21345	193
991	21367	172
992	21388	150
993	21409	129
994	21429	107
995	21451	86
996	21471	64
997	21491	43
998	21510	21
999	21529	0
